Author,Anand Sanwal
Title,"What's the most unsexy, ""boring"" business you've ever seen that makes a crap ton of money?  (riches in niches)"
Date,"7:15 AM · Jul 3, 2020·Twitter Web App"
Comment,261  Retweets and comments 1.4K  Likes
Conversations,
,Anand Sanwal @asanwal · Jul 5,"Replying to @asanwal
Snuggie & Slanket - nobody mentioned those yet
Quote Tweet
Ian Sigalow @Sigalow
 · Jul 4
The Snuggie sold over 30 million units and generated $500 million in revenues. Its cousin, The Slanket, reached almost $10M per year too.

In case you were wondering, a blanket with sleeves has outperformed most venture-backed D2C brands.
3
1
13",https://pbs.twimg.com/profile_images/776055571506225152/Nj2M6kk5_normal.jpg
,Tyler Reynolds @tbr90 · Jul 4,"Replying to @asanwal
The guy who sells cheese to dominos, papa johns, and other big pizza chains is worth over $3B
1
2
48",
,Anand Sanwal @asanwal · Jul 4,"wow...who is that?
1
1",
,Chris @KintuLabs · Jul 3,"Replying to @asanwal
GrowthList - Funded Tech Startups
A report of tech startups that are getting funded right now, delivered to your inbox every week.
growthlist.co
1
2
34",https://pbs.twimg.com/card_img/1284163131778887680/mvwhmiCz?format=png&name=240x240
,Anand Sanwal @asanwal · Jul 3,"define crap ton
2
6",
,Suril Butala @S_Butala · Jul 3,"Replying to @asanwal
WeatherTech (car mats) is 100% owned by the founder and does $400M+ in annual revenue
5
4
108",
,Andy Lackie @AndyLackie · Jul 3,"$400,000,000?!? Are you kidding me?
1
13",
,Derek @DerekBarclay · Jul 3,"Replying to @asanwal
When I did my MBA in 97 this was an assignment, in Scotland 
the most profitable business by miles was inseminating cows with semen imported from Holland 
, second was installing replacement truck seats imported from Italy
.
3
1
42",https://abs-0.twimg.com/emoji/v2/svg/1f3f4-e0067-e0062-e0073-e0063-e0074-e007f.svg
,Benjamin C.E.O. Greeley @BenjaminGreeley · Jul 3,"And they say an mba is useless
2
29",
,Brianne Kimmel @briannekimmel · Jul 3,"Replying to @asanwal @OnUpKeep
 software for maintenance, janitors, etc. 

UpKeep = more than 10M work orders and revenue grew 206% last year @ryanchanupkeep
 & team are fun (and hiring!)
2
2
57",
,Rob Liddiard @RJLiddiard · Jul 3,"This is cool! @ryanchanupkeep
 do you do much in U.K. retail or hospitality? We have around 100,000 frontline users who typically cant log/see tickets in legacy maintenance systems - could we look at integrating?
2
5",
